index,AU200,AUD,BCO,CAD,CHF,CN50,CNH,CORN,CZK,DE10YB,DE30,DKK,EU50,EUR,FR40,GBP,HK33,HKD,HUF,IN50,INR,JP225,JPY,MXN,NAS100,NATGAS,NL25,NOK,NZD,PLN,SAR,SEK,SG30,SGD,SOYBN,SPX500,SUGAR,THB,TRY,TWIX,UK100,UK10YB,US2000,US30,USB02Y,USB05Y,USB10Y,USB30Y,USD,WHEAT,WTICO,XAG,XAU,XCU,XPD,XPT,ZAR
2016-05-30,-0.22,-0.85,9.62,0.47,-0.33,1.18,0.69,8.83,-0.58,-0.88,1.25,-0.5,2.45,-0.58,2.95,2.61,2.11,0.97,-0.4,2.78,0.59,1.62,0.58,-1.53,3.25,-3.39,2.27,0.21,0.75,-0.25,1.03,-0.49,1.33,0.67,1.19,1.6,10.12,-0.08,1.55,5.24,4.37,2.36,2.21,0.93,0.77,0.38,0.28,0.12,1.02,5.72,11.63,-3.64,-2.66,1.15,-7.99,-4.85,-1.54
2016-05-31,0.4,-0.86,10.15,0.66,-0.32,1.94,0.96,10.53,-0.73,-1.12,1.4,-0.67,2.62,-0.74,3.07,2.83,3.48,1.53,-0.58,4.45,0.98,2.32,0.67,-0.99,4.22,-1.64,2.71,0.05,0.62,0.02,1.59,-0.75,2.48,0.79,2.46,2.53,11.23,0.16,1.23,6.77,4.69,2.5,3.67,1.7,1.21,0.67,0.57,0.5,1.58,6.0,12.64,-3.67,-2.66,2.37,-8.52,-5.91,-2.3
2016-06-01,-0.39,-0.23,9.17,0.12,-0.26,5.9,0.78,8.54,-0.6,-0.93,1.29,-0.56,2.19,-0.61,2.85,1.85,3.86,1.43,-0.3,4.75,0.64,3.28,0.23,-1.07,4.4,4.9,1.98,-0.44,1.63,0.18,1.56,-0.57,2.18,0.89,1.68,2.29,10.34,0.01,1.58,7.09,3.03,1.48,3.91,1.16,1.25,0.77,0.65,0.64,1.54,3.0,11.32,-5.13,-2.53,1.1,-6.95,-5.69,-2.24
2016-06-02,-0.97,-0.35,9.04,-0.22,-0.14,3.93,0.32,10.32,-0.58,-0.93,0.76,-0.53,1.36,-0.57,2.19,0.92,3.64,0.98,-0.26,4.35,-0.13,1.37,0.86,-1.82,3.89,8.29,1.9,-0.06,1.96,0.2,1.1,-0.59,1.51,0.48,3.15,1.93,9.86,-0.25,1.38,7.68,1.78,0.9,4.09,0.69,0.76,0.28,0.23,0.65,1.08,4.16,11.09,-5.88,-3.18,0.03,-7.58,-7.03,-2.02
2016-06-06,-1.77,-0.87,9.4,-0.49,-0.5,4.09,0.18,10.29,-1.01,-1.13,0.72,-0.98,1.25,-1.02,2.15,0.85,4.19,0.86,-0.43,4.77,0.03,-0.04,1.34,-2.78,3.98,9.71,1.94,-0.54,1.72,-0.2,0.97,-1.09,1.7,0.44,7.2,2.12,14.37,-0.13,1.0,7.52,1.95,1.16,4.85,0.85,0.65,0.28,0.35,1.13,0.95,6.12,11.2,-5.72,-3.47,-0.3,-9.69,-8.42,-1.97
2016-06-07,-1.5,-0.73,7.51,-1.0,-0.76,2.49,-0.87,9.71,-0.85,-0.51,-0.54,-0.84,-0.16,-0.85,0.93,-0.23,2.53,-0.83,-0.18,2.97,-0.97,-3.51,1.78,-4.06,1.75,7.68,1.25,-0.4,2.11,-0.16,-0.76,-0.56,1.76,0.09,4.53,0.08,16.09,-1.16,0.84,6.29,1.06,0.59,2.28,-1.02,-0.84,-0.9,-0.55,0.6,-0.78,7.06,9.14,-4.83,-2.47,0.43,-7.8,-7.17,-0.53
2016-06-13,0.17,0.26,10.71,0.31,0.08,1.72,-1.64,11.61,-1.18,-0.78,0.57,-1.12,0.43,-1.19,1.43,-0.31,4.52,-1.07,0.12,3.39,-1.04,-1.37,0.73,-3.04,1.59,11.96,1.95,0.15,2.17,0.35,-1.02,-0.68,3.74,0.24,5.05,0.42,17.22,-1.05,0.78,7.09,1.5,0.38,3.56,-0.57,-1.12,-1.17,-0.9,0.02,-1.04,9.8,12.29,-5.29,-2.78,-2.93,-8.11,-6.19,0.46
2016-06-14,0.29,0.02,12.77,0.24,0.3,0.57,-1.9,11.58,-1.27,-0.89,0.23,-1.21,0.09,-1.27,1.08,-0.99,4.15,-1.4,0.07,2.99,-1.18,-1.34,0.69,-2.13,1.3,10.8,1.93,-0.1,2.3,1.05,-1.42,-0.85,4.11,0.15,7.86,0.36,20.1,-1.16,0.51,6.84,1.29,-0.12,3.83,-0.67,-1.52,-1.55,-1.27,-0.02,-1.44,10.83,14.08,-1.73,-1.71,-2.77,-7.37,-5.52,1.17
2016-06-15,-3.12,0.29,8.04,0.64,1.67,-0.74,-0.7,15.3,-1.27,-0.37,-5.99,-1.06,-6.77,-1.15,-5.77,-1.91,0.32,0.41,-0.99,2.9,-0.72,-5.63,3.34,-4.71,0.94,19.74,-4.49,-1.47,3.77,-1.41,0.39,-1.48,0.93,1.36,8.94,-0.01,20.74,0.11,0.86,6.12,-5.18,-0.18,2.21,-0.8,0.42,0.68,1.16,2.93,0.37,6.67,9.06,2.21,2.02,-1.94,-10.39,-7.29,-0.77
2016-06-16,-3.31,0.65,6.47,0.02,1.57,-0.78,-0.83,13.24,-1.21,-0.05,-5.8,-0.91,-6.31,-0.99,-5.43,-1.59,1.11,0.1,-0.92,3.78,-0.66,-5.12,3.13,-4.89,0.34,19.04,-5.08,-1.13,4.04,-1.09,0.08,-1.81,1.53,1.24,7.43,-0.43,22.31,-0.04,0.89,7.11,-4.77,0.3,1.89,-1.19,0.22,0.65,1.21,3.07,0.06,4.54,7.88,2.62,2.14,0.04,-10.95,-7.55,-0.72
2016-06-20,-3.9,-0.03,3.21,-0.5,1.12,-0.8,-0.95,12.32,-1.53,-0.49,-5.26,-1.29,-5.6,-1.37,-4.86,-1.69,-1.07,0.04,-1.22,2.94,-1.04,-7.23,4.73,-5.15,0.53,18.85,-4.33,-2.19,4.1,-1.47,0.0,-2.28,1.02,1.43,5.57,-0.16,22.21,-0.3,0.63,5.28,-4.15,0.13,1.97,-0.75,0.12,0.51,1.05,3.08,-0.02,3.54,4.74,0.57,0.97,-1.86,-10.78,-8.09,-1.43
2016-06-21,-3.72,0.05,7.85,-0.27,1.3,-0.81,-1.29,14.9,-1.43,-0.56,-4.65,-1.19,-4.81,-1.28,-3.97,-0.95,-1.07,-0.34,-1.16,2.71,-1.02,-7.59,4.48,-4.96,-1.04,21.05,-3.68,-2.15,3.94,-1.06,-0.36,-2.5,0.66,1.04,7.21,-1.0,21.72,-0.46,0.38,5.84,-2.37,0.88,1.08,-1.52,-0.26,0.05,0.51,2.46,-0.39,4.43,9.24,2.06,2.25,-2.17,-11.23,-8.66,-0.51
2016-06-22,-0.47,1.12,11.46,0.64,1.35,-0.73,-0.93,5.94,-1.43,-1.01,-1.04,-1.2,-1.05,-1.27,-0.26,1.4,1.83,-0.01,-1.3,3.81,-1.68,-3.66,4.2,-3.43,0.12,26.76,0.26,-1.32,5.18,-0.62,-0.04,-1.55,3.01,1.79,5.54,0.26,19.56,-0.04,1.27,7.65,3.26,1.94,2.2,-0.25,-0.05,0.01,0.27,1.42,-0.07,0.85,12.48,1.17,0.26,1.69,-7.63,-7.31,2.7
2016-06-23,-0.73,1.37,8.91,0.0,1.29,-0.67,-1.17,4.45,-1.37,-0.75,-1.08,-1.18,-1.39,-1.21,-0.59,1.36,2.75,-0.43,-1.17,3.16,-1.8,-5.1,4.1,-3.19,-0.37,23.08,-0.19,-1.48,5.32,-0.05,-0.46,-1.77,3.38,1.72,5.47,-0.26,18.28,-0.36,1.41,7.0,3.4,1.77,1.37,-0.89,-0.44,-0.32,-0.02,1.22,-0.5,0.29,9.73,0.64,-0.31,1.7,-6.34,-8.04,3.02
2016-06-27,2.14,2.51,10.86,0.34,0.93,-1.25,-1.58,2.81,-0.95,-0.95,2.11,-0.86,2.07,-0.81,2.86,2.15,3.89,-0.78,-0.6,3.87,-1.88,-1.93,2.09,-2.1,1.1,24.15,3.12,-0.07,6.12,0.48,-0.82,-0.91,3.6,1.42,4.07,0.98,18.65,-0.59,2.43,7.04,5.65,2.03,3.69,0.23,-0.89,-0.95,-0.83,-0.1,-0.86,-0.92,11.82,0.48,-1.57,2.72,-5.8,-9.32,4.09
2016-06-28,-2.1,2.31,7.48,0.1,1.23,-0.93,-0.69,3.87,-1.9,-0.53,-6.92,-1.47,-9.22,-1.58,-7.56,-4.39,1.11,0.86,-2.48,2.96,-1.22,-8.55,7.73,-4.2,-2.08,24.78,-4.95,-1.65,6.15,-2.13,0.87,-2.98,1.11,1.94,4.28,-1.8,19.68,0.62,1.55,5.88,-5.19,-2.11,0.39,-2.08,1.13,1.58,2.32,4.39,0.83,0.84,8.26,4.79,4.97,2.13,-6.84,-5.79,1.27
2016-06-29,-2.23,1.31,8.47,0.07,0.37,0.49,-1.28,4.06,-2.28,-0.09,-6.79,-1.81,-7.88,-1.83,-6.51,-6.67,0.72,1.03,-2.5,3.89,-0.81,-5.85,7.33,-3.55,-1.48,32.25,-4.71,-2.2,5.14,-1.78,1.0,-3.21,2.34,2.05,8.13,-1.16,23.89,0.92,2.48,6.95,-5.16,-3.22,-0.5,-1.68,1.28,1.91,2.85,5.98,0.97,-1.63,9.69,5.1,4.83,5.2,-3.11,-6.21,0.74
2016-06-30,-1.14,1.65,10.98,0.24,0.07,1.37,-1.33,0.64,-2.12,-0.17,-5.63,-1.77,-6.06,-1.81,-4.8,-6.58,2.68,0.51,-2.58,4.24,-0.74,-4.82,6.76,-2.17,0.21,31.46,-2.65,-1.73,5.55,-1.7,0.49,-3.13,4.42,1.93,7.18,0.52,29.05,0.74,2.49,7.89,-2.71,-3.09,1.44,0.02,0.7,1.19,2.0,4.84,0.46,-4.82,12.18,7.52,4.95,5.45,-0.42,-3.77,2.82
2016-07-04,-0.13,1.57,8.82,0.25,0.37,1.35,-1.64,-2.06,-2.26,-0.88,-4.58,-2.0,-4.38,-2.05,-3.2,-7.51,4.08,0.44,-2.39,5.21,-0.89,-5.46,6.33,-1.13,0.7,33.86,-0.66,-1.43,5.78,-1.01,0.4,-3.23,5.96,1.94,10.11,1.07,25.62,0.64,2.8,8.76,-0.29,-3.5,2.75,0.62,0.74,1.36,2.2,5.15,0.39,-4.61,9.8,9.72,5.05,5.65,1.45,-2.11,3.17
2016-07-06,0.58,2.09,10.41,0.23,0.53,1.44,-1.87,-4.45,-2.19,-0.06,-4.3,-1.9,-4.5,-1.89,-3.2,-7.99,3.95,0.32,-2.71,5.34,-0.53,-6.41,6.85,-1.72,1.32,35.59,-0.7,-1.33,6.19,-1.63,0.26,-3.09,5.87,1.92,9.03,1.39,27.29,0.74,1.86,9.65,-0.38,-3.78,3.05,0.87,0.58,1.23,2.2,5.91,0.26,-8.38,11.58,15.29,6.43,6.49,2.35,1.27,4.18
2016-07-11,-0.89,1.92,6.09,0.02,0.47,1.97,-1.74,-6.51,-2.21,0.19,-7.18,-2.13,-7.25,-2.13,-6.07,-9.5,3.12,0.64,-2.83,5.66,-0.63,-6.85,7.94,-3.82,1.03,28.85,-2.93,-1.78,6.21,-2.46,0.56,-3.82,5.52,1.79,4.44,1.14,28.63,0.63,1.24,8.67,-2.41,-4.51,1.86,0.62,0.96,1.77,2.95,7.09,0.57,-7.37,7.15,16.4,7.83,5.07,2.13,2.69,3.27
2016-07-12,-0.81,1.94,2.43,-0.35,0.04,1.87,-2.12,-9.25,-2.51,-0.32,-8.58,-2.46,-8.65,-2.46,-7.42,-10.57,2.64,0.44,-2.71,5.7,-0.84,-8.24,8.69,-4.08,1.81,28.21,-4.22,-3.15,7.03,-2.67,0.35,-4.68,5.21,1.71,-1.0,1.29,22.41,0.32,0.73,8.12,-3.7,-5.53,2.55,0.66,0.67,1.44,2.63,7.13,0.36,-9.15,3.51,14.94,7.97,2.05,3.3,4.23,2.79
2016-07-13,4.62,4.0,6.53,-0.54,-0.84,4.81,-1.92,-5.91,-2.37,-0.95,-2.53,-2.3,-2.85,-2.33,-1.89,-7.82,6.77,0.58,-2.11,7.86,0.07,-0.1,5.09,-1.29,4.59,27.76,0.5,-2.17,8.19,-1.68,0.52,-4.06,7.9,2.1,4.23,3.96,23.02,0.46,2.65,11.41,1.14,-3.11,7.5,3.29,0.62,1.04,1.87,5.84,0.5,-5.9,7.02,17.51,6.07,6.55,6.34,4.55,6.05
2016-07-14,4.52,3.66,3.1,-0.17,-0.6,4.06,-1.92,-3.06,-2.22,-0.34,-2.61,-2.17,-2.73,-2.2,-1.5,-8.7,6.03,0.46,-2.01,7.58,-0.08,-1.19,5.16,-1.55,4.25,28.0,0.58,-2.17,7.71,-1.79,0.39,-3.66,7.62,1.95,5.85,3.82,21.51,0.41,2.07,11.28,0.48,-3.33,7.12,3.29,0.52,1.0,1.93,6.28,0.37,-5.4,3.69,18.24,6.61,7.52,9.04,4.74,4.92
2016-07-18,5.37,3.89,4.25,0.41,-0.23,3.87,-2.07,-4.93,-2.06,-0.44,-1.01,-1.98,-1.38,-2.01,-0.3,-7.3,7.72,0.41,-1.92,8.32,0.09,-0.04,4.25,-1.57,4.81,27.33,1.54,-1.51,6.58,-1.65,0.3,-3.77,8.98,2.18,2.43,4.29,23.89,0.78,2.71,11.37,1.55,-2.31,7.06,3.97,0.38,0.74,1.51,5.01,0.28,-6.59,4.5,17.97,5.97,7.48,9.76,5.2,6.62
2016-07-19,5.12,3.89,6.77,0.5,0.32,4.47,-1.61,-5.35,-2.06,-0.9,-1.07,-2.02,-1.61,-2.07,-0.63,-7.77,8.21,1.13,-2.35,8.77,0.44,-0.25,5.45,-2.21,4.92,28.99,1.25,-2.22,6.12,-2.19,1.03,-4.1,8.5,2.51,1.98,4.46,21.68,1.7,-1.24,12.77,1.13,-3.05,7.53,4.34,1.11,1.42,2.19,5.55,1.01,-8.03,6.85,18.28,6.87,8.04,10.08,4.9,4.94
2016-07-20,5.0,3.15,4.45,0.35,0.24,3.48,-1.4,-7.6,-1.97,-0.54,-1.8,-1.95,-2.38,-1.96,-1.38,-8.12,8.83,1.34,-2.17,9.03,0.45,1.34,4.47,-1.42,6.16,28.19,1.65,-2.34,5.47,-1.01,1.25,-4.17,8.15,2.28,-0.19,5.31,22.02,1.8,-1.75,14.04,1.35,-3.1,7.96,5.2,1.3,1.59,2.42,5.61,1.23,-9.02,4.0,16.94,6.69,9.28,11.66,5.21,6.84
2016-07-21,5.78,2.91,5.54,0.18,0.19,3.79,-0.79,-8.92,-1.92,-0.66,-0.36,-1.88,-1.36,-1.9,-0.44,-7.23,10.07,1.46,-1.95,9.62,0.59,2.79,3.89,-2.25,7.33,26.13,2.3,-2.07,5.22,-0.76,1.38,-3.9,8.74,2.21,-2.04,5.85,21.68,1.78,-3.2,14.58,2.23,-2.45,8.84,5.55,1.38,1.59,2.32,5.14,1.35,-10.17,4.75,14.49,5.63,8.84,14.13,4.62,6.89
2016-07-25,5.34,2.74,2.99,-0.44,-0.06,3.39,-1.17,-10.66,-2.21,-0.89,-0.59,-2.18,-1.75,-2.19,-0.96,-7.49,9.69,1.06,-2.04,8.41,0.24,0.77,4.49,-2.1,6.57,26.89,1.77,-2.39,4.39,-0.78,0.98,-4.23,7.85,1.88,-1.72,5.01,22.58,1.65,-3.0,14.21,1.72,-2.71,7.73,4.65,1.04,1.38,2.16,4.9,0.95,-9.43,1.88,16.06,6.39,9.1,15.48,5.87,7.3
2016-07-26,5.51,2.57,2.53,-0.54,0.02,3.01,-1.04,-9.53,-2.43,-1.08,-0.54,-2.41,-1.41,-2.42,-0.66,-8.18,10.06,1.26,-2.1,9.04,0.5,1.33,4.43,-1.71,7.19,30.62,2.27,-2.88,4.63,-1.07,1.21,-4.7,8.44,1.86,-4.13,5.6,23.32,1.95,-2.71,14.55,1.64,-3.09,8.77,5.1,1.21,1.5,2.26,5.21,1.17,-7.31,1.48,15.49,5.94,8.26,15.65,4.28,7.04
2016-07-27,6.38,2.85,-0.19,-1.21,-0.74,3.64,-1.22,-10.92,-2.6,-1.14,0.34,-2.56,-1.23,-2.55,-0.36,-8.25,10.55,1.04,-2.15,9.29,-0.1,-0.1,5.62,-3.15,7.58,27.49,2.35,-3.31,5.21,-1.18,0.98,-5.01,7.18,1.65,-5.62,5.3,22.37,1.62,-2.14,14.03,1.59,-3.35,9.06,4.53,0.95,1.2,2.01,4.89,0.94,-9.63,-2.07,15.39,5.54,7.43,15.88,4.98,6.37
2016-07-28,6.08,2.43,-2.78,-1.47,-0.35,2.46,-1.36,-10.07,-2.26,-0.19,1.11,-2.16,-0.57,-2.15,0.78,-7.8,10.24,0.78,-1.77,9.32,-0.0,0.86,4.63,-3.68,7.89,27.33,2.12,-3.2,5.26,-0.94,0.71,-4.91,7.66,1.81,-4.28,4.92,19.96,1.46,-1.52,13.85,2.11,-2.19,8.81,4.19,0.74,1.18,2.15,5.7,0.67,-10.09,-4.13,18.72,6.8,5.79,17.51,8.68,6.83
2016-08-02,6.12,2.23,-4.62,-1.61,-0.2,2.22,-1.56,-11.51,-2.47,-0.45,1.37,-2.35,-0.85,-2.36,0.91,-8.62,9.32,0.42,-1.48,9.64,-0.18,0.21,4.39,-4.41,7.9,34.01,1.52,-3.77,4.85,-0.97,0.35,-5.41,5.93,1.35,-5.22,4.67,18.3,1.35,-1.72,13.84,1.32,-2.74,8.23,3.68,0.4,0.82,1.75,5.16,0.3,-11.39,-6.33,17.39,6.07,6.48,16.55,8.01,7.28
2016-08-03,6.34,2.24,-5.48,-1.99,-0.29,0.93,-2.35,-12.23,-2.84,-0.57,0.94,-2.76,-1.15,-2.73,0.29,-9.39,7.76,-0.86,-1.67,8.44,-0.98,-2.69,6.22,-4.92,6.6,32.75,1.12,-3.72,5.5,-1.23,-0.91,-5.76,4.51,1.08,-4.14,3.66,17.89,0.29,-2.16,12.14,0.52,-3.3,7.44,2.39,-0.76,-0.19,0.87,4.6,-0.96,-13.14,-6.74,16.93,5.93,5.8,17.07,7.97,7.81
2016-08-04,4.52,2.05,-5.19,-2.22,-0.7,0.21,-2.6,-14.67,-3.03,-1.49,-0.55,-2.97,-3.64,-2.98,-2.25,-8.68,7.09,-0.9,-1.76,7.11,-1.14,-4.26,7.02,-5.65,6.51,31.97,-0.81,-3.85,4.76,0.31,-0.93,-5.61,3.46,0.96,-8.98,3.0,18.39,-0.38,-3.0,11.97,-0.1,-3.43,6.66,1.8,-0.83,-0.4,0.42,3.14,-0.98,-12.44,-7.21,17.3,6.44,4.52,17.39,9.3,7.68
2016-08-08,5.18,2.63,-3.38,-1.79,-0.74,0.18,-2.59,-15.98,-3.15,-1.25,-0.46,-3.1,-3.36,-3.11,-2.1,-10.26,7.74,-0.81,-1.97,7.52,-1.12,-3.27,7.09,-5.71,6.95,31.33,-0.26,-3.6,5.01,-0.03,-0.87,-5.25,3.85,1.0,-8.78,3.17,22.28,-0.05,-2.89,12.26,0.01,-3.69,6.7,1.89,-0.73,-0.18,0.77,3.82,-0.92,-14.05,-5.48,17.08,6.75,3.38,16.4,9.01,9.06
2016-08-09,5.92,2.73,-2.55,-2.74,-1.19,0.9,-2.65,-14.69,-3.31,-1.7,0.64,-3.25,-2.28,-3.28,-1.02,-10.32,9.62,-0.58,-1.97,8.92,-0.86,-1.94,6.72,-4.71,7.92,29.23,0.44,-4.23,4.8,0.07,-0.65,-5.58,3.73,0.86,-6.62,4.15,25.51,-0.31,-2.25,13.87,0.41,-4.07,8.34,3.13,-0.66,-0.43,0.33,2.99,-0.7,-10.37,-4.83,14.11,5.1,2.94,15.41,8.08,9.38
2016-08-10,6.62,3.17,-1.42,-2.6,-1.52,1.86,-2.86,-15.45,-3.29,-1.43,3.63,-3.27,-0.69,-3.27,-0.0,-11.1,10.53,-0.86,-2.03,8.61,-1.1,-0.67,6.4,-3.22,7.85,23.74,1.27,-3.28,4.87,0.49,-0.91,-5.44,4.94,0.81,-5.6,3.9,24.92,-0.04,-1.46,13.81,0.27,-3.99,8.17,2.83,-0.9,-0.6,0.24,3.37,-0.96,-10.63,-3.07,14.63,5.18,2.33,14.8,8.58,11.33
2016-08-11,6.27,3.14,-4.39,-2.56,-1.3,1.07,-3.0,-15.81,-3.22,-1.08,3.48,-3.17,-0.74,-3.16,0.05,-11.47,9.49,-1.28,-1.95,7.0,-1.48,-1.14,6.56,-3.53,7.17,21.58,1.2,-2.17,5.0,0.49,-1.34,-5.06,3.99,0.56,-6.69,3.22,21.32,-0.13,-1.52,13.24,0.11,-3.84,7.08,2.26,-1.27,-0.86,0.12,3.41,-1.39,-9.91,-6.34,15.7,5.21,2.93,18.78,10.03,11.79
2016-08-15,6.67,3.26,0.68,-1.88,-1.18,2.02,-2.83,-16.2,-3.36,-1.63,4.11,-3.35,0.17,-3.34,1.11,-11.72,11.15,-1.11,-1.91,7.5,-1.29,0.34,6.06,-2.35,7.76,20.12,2.05,-1.57,5.2,0.41,-1.16,-5.01,4.71,0.6,-6.26,3.81,21.14,0.19,-1.37,13.47,1.09,-4.35,7.69,3.05,-1.22,-1.01,-0.17,2.75,-1.22,-10.95,-1.49,14.91,4.76,3.75,14.1,7.11,11.14
2016-08-16,5.37,2.41,3.18,-1.81,-1.3,3.7,-3.2,-15.85,-3.36,-1.45,3.84,-3.35,0.02,-3.34,1.02,-12.22,10.94,-1.32,-1.84,7.88,-1.69,-0.24,6.5,-2.74,7.65,22.49,1.48,-1.4,4.85,0.14,-1.38,-4.97,3.25,0.2,-6.59,3.54,21.52,-0.21,-1.64,13.2,0.57,-4.76,7.51,2.59,-1.35,-1.02,-0.05,3.16,-1.43,-9.63,1.29,13.43,4.41,1.19,13.23,5.45,10.39
2016-08-17,5.25,2.15,6.33,-1.93,-0.81,4.43,-3.68,-15.07,-3.17,-1.77,3.63,-3.18,-0.88,-3.13,0.3,-12.07,11.03,-2.12,-1.64,6.93,-2.51,-2.37,6.65,-2.46,6.73,22.65,0.86,-2.02,5.14,0.34,-2.21,-5.34,3.07,-0.18,-5.04,2.56,23.32,-0.53,-1.48,11.56,0.35,-4.86,6.98,1.81,-2.28,-2.12,-1.31,1.19,-2.26,-9.86,4.36,13.08,4.34,1.96,14.86,4.0,9.97
